Gene,mean_exp_c57,koff_c57,kon_c57,regime_c57,regime_v2_c57,s_c57
Slfn5,0.11,4.78135445,0.06901962,uz,uz,7.66187411
Slit2,0.09,0.55060032,0.04982202,b,uz,1.07340008
Slit3,0.03,7.68917117,0.00562382484,uz,uz,41.7412495
Slk,1.68,1.06245965,0.33550499,uz,uz,6.9920558
Slmap,1.07,124.2415041,0.85650406,uz,uz,156.88864323
Slmo2,3.07,250.12297831,1.34179697,unz,uz,574.56190455
Sltm,3.4,1.01203664,0.76892036,uz,uz,7.86781245
Slu7,1.73,1.77547585,0.76411989,uz,uz,5.76497657
Slx4,0.41,17.75690372,0.25259758,uz,uz,29.35650056
Smad2,1.21,0.71546482,0.18838374,b,uz,5.82438789
Smad3,0.46,2.62408087,0.25354794,uz,uz,5.18964557
Smad4,0.82,1.13324964,0.19283731,uz,uz,5.67203994
Smad6,0.11,1.38868331,0.04291576,uz,uz,3.71613042
Smagp,1.23,7.9216095,0.76338727,uz,uz,14.004069400000002
Smap1,1.43,0.25655284,0.12048235,b,uz,4.47361138
Smarca1,0.37,7.93687742,0.049043241900000006,uz,uz,60.684647600000005
Smarca4,7.35,2.56444784,1.67994301,unz,unz,18.56557378
Smarcad1,2.78,0.59574644,0.47841616,b,uz,6.248092
Smarcb1,4.39,2.97561198,1.41222756,unz,unz,13.65448611
Smarcc1,6.84,18.14184414,2.56034345,unz,unz,55.31408919
Smarcd1,4.01,3.73513211,1.00968828,unz,uz,18.85182829
Smarcd2,0.61,2.75828218,0.42546692,uz,uz,4.59393378
Smarcd3,1.66,17.03680316,0.29226448,uz,uz,98.41229835
Smarce1,3.59,1.40695666,1.17151951,unz,unz,7.90287483
Smc1a,15.58,353.66343963,5.72281643,unz,unz,978.59908805
Smc2,6.18,50.85119703,2.20562153,unz,unz,148.67494530000002
Smc3,11.29,5.59405992,2.11146621,unz,unz,41.21780644
Smc4,21.06,1.76396216,1.06957723,unz,unz,55.79547978
Smc5,1.59,0.5317443000000001,0.29241543,b,uz,4.47365865
Smc6,6.2,0.59296763,0.5781999,b,b,12.55790482
Smchd1,2.63,0.24999989,0.2016468,b,b,5.8998758
Smcr8,0.56,2.55053911,0.1935374,uz,uz,7.87459688
Smek1,1.59,40.85899138,0.85582609,uz,uz,77.37870599
Smek2,1.07,6.86837128,0.63580481,uz,uz,12.65198395
Smg1,2.04,2.61024493,0.78787434,uz,uz,8.79595136
Smg5,2.31,1.77147592,0.58818961,uz,uz,9.28452905
Smn1,4.15,1.72545106,1.11668968,unz,unz,10.56583236
Smoc1,0.39,4.28194542,0.29625953,uz,uz,6.02724242
Smpd2,0.66,0.63026305,0.20342497,b,uz,2.70238718
Smpd4,4.04,4.92533006,0.90805445,uz,uz,25.95296774
Smpdl3a,0.04,0.07776278,0.00225681,b,uz,1.56770485
Smpdl3b,1.54,129.83871200000002,0.85313013,uz,uz,236.28339623
Sms,0.65,24.4470787,0.16761181,uz,uz,95.65318498
Smu1,7.47,120.10731593,2.96283588,unz,unz,310.18458755
Smug1,0.44,207.26194356,0.35704212,uz,uz,254.48065927
Smurf1,0.43,21.48673669,0.3025986,uz,uz,30.77388036
Smurf2,0.4,0.23927457,0.05409738,b,uz,2.18116993
Smyd2,2.46,1.54740495,0.72719666,uz,uz,7.68081826
Smyd3,2.04,0.94285101,0.90740888,b,uz,4.16757377
Smyd4,0.69,23.75239037,0.64390224,uz,uz,26.06755744
Snap23,1.24,0.00453618,0.00684026,b,b,2.07006949
Snap47,1.68,6.097484,0.47300839,uz,uz,23.3278268
Snapc1,1.51,7.31166918,0.77073636,uz,uz,15.85306227
Snapc3,1.38,6.88878843,0.57119587,uz,uz,18.00578983
Snapc4,0.52,0.68183012,0.10707986,b,uz,3.8143983999999995
Snapc5,3.43,3.63430052,0.7834579,uz,uz,19.33942514
Snapin,2.99,0.39730981,0.31417374,b,uz,6.77257579
Snd1,1.95,337.13903947,1.21027899,unz,uz,545.78935846
Snhg1,3.23,0.43898355,0.22890506,b,uz,9.42173529
Snhg10,0.37,19.5002853,0.17419897,uz,uz,42.27811003
Snhg12,3.6,0.69091763,0.71491247,b,b,7.07461543
Snhg3,9.06,254.12038404,1.80306746,unz,unz,1286.16789269
Snhg6,7.4,43.28403306,1.70491098,unz,unz,195.20376582
Snhg8,1.98,0.11539406,0.16142731,b,b,3.3958426
Snrk,0.13,21.88757709,0.08649254,uz,uz,32.98327712
Snrnp25,4.34,20.92088112,1.23734574,unz,uz,77.71074077
Snrnp35,0.67,181.58353762,0.64812083,uz,uz,187.13730228
Snrnp40,4.67,14.53111068,2.03362164,unz,unz,38.01404558
Snrnp48,1.77,4.77403136,0.75819811,uz,uz,12.90522555
Snrnp70,7.23,4.07775784,1.50803897,unz,unz,26.77470247
Snrpa1,14.23,9.09338745,2.35219307,unz,unz,69.23271883
Snrpb,14.16,5.177761599999999,2.38009489,unz,unz,44.96013671
Snrpb2,3.37,263.17799585,1.58150881,unz,unz,564.43413914
Snrpe,23.34,2.59312798,1.56960348,unz,unz,61.90549624
Snw1,7.73,1.26098738,0.98455554,uz,uz,17.61927517
Snx1,1.46,0.1356494,0.13379982,b,uz,2.94304027
Snx10,1.76,156.67358711,0.72349175,uz,uz,382.59786082
Snx12,2.11,353.50451578,1.76742766,unz,uz,424.61357107
Snx15,0.75,1.41789006,0.23484184,uz,uz,5.27925311
Snx16,0.85,0.77160077,0.29408802,b,uz,3.06808717
